"TextCode","DisplayName","SortName","About"
"","Jay Watson","Watson, Jay","<p>Jay Watson, a founding advisory editor for DY, is Distinguished Professor of English and Howry Professor of Faulkner Studies at the University of Mississippi, where he has taught since 1989. Author or editor of fifteen books, most recently <em>Fossil Fuel Faulkner: Energy, Modernity and the US South </em>(Oxford, 2022), he was president of the William Faulkner Society from 2009 to 2012.</p>
"
"SMO","Mike Wainwright","Wainwright, Mike","<p>Michael Wainwright holds the position of Honorary Research Associate with the English Department at Royal Holloway, University of London. His monographs include <em>Darwin and Faulkner's Novels: Evolution and Southern Fiction</em> (2008), <em>The Rational Shakespeare: Peter Ramus, Edward de Vere, and the Question of Authorship</em> (2018), and <em>Faulkner's Ethics: An Intense Struggle</em> (2021).</p>
"
"HUW","Mike Wainwright","Wainwright, Mike","<p>Michael Wainwright holds the position of Honorary Research Associate with the English Department at Royal Holloway, University of London. His monographs include <em>Darwin and Faulkner's Novels: Evolution and Southern Fiction</em> (2008), <em>The Rational Shakespeare: Peter Ramus, Edward de Vere, and the Question of Authorship</em> (2018), and <em>Faulkner's Ethics: An Intense Struggle</em> (2021).</p>
"
"KGB","Mike Wainwright","Wainwright, Mike","<p>Michael Wainwright holds the position of Honorary Research Associate with the English Department at Royal Holloway, University of London. His monographs include <em>Darwin and Faulkner's Novels: Evolution and Southern Fiction</em> (2008), <em>The Rational Shakespeare: Peter Ramus, Edward de Vere, and the Question of Authorship</em> (2018), and <em>Faulkner's Ethics: An Intense Struggle</em> (2021).</p>
"
"J","Christopher Rieger","Rieger, Christopher","<p>Christopher Rieger was the Director of the Center for Faulkner Studies and Professor of English at Southeast Missouri State University until 2023. He is the author of <em>Clear-Cutting Eden: Ecology and the Pastoral in Southern Literature</em> and <em>Faulkner's Fashions: Gender, Race, Class, and Clothing</em>, and the co-editor of six essay collections, including <em>Faulkner & Morrison</em>, <em>Faulkner & Hurston</em>, <em>Faulkner & Hemingway</em>, and <em>Faulkner & Garcia Marquez</em>. He currently works for the U.S. Department of State.</p>
"
"EIC","Christopher Rieger","Rieger, Christopher","<p>Christopher Rieger was the Director of the Center for Faulkner Studies and Professor of English at Southeast Missouri State University until 2023. He is the author of <em>Clear-Cutting Eden: Ecology and the Pastoral in Southern Literature</em> and <em>Faulkner's Fashions: Gender, Race, Class, and Clothing</em>, and the co-editor of six essay collections, including <em>Faulkner & Morrison</em>, <em>Faulkner & Hurston</em>, <em>Faulkner & Hemingway</em>, and <em>Faulkner & Garcia Marquez</em>. He currently works for the U.S. Department of State.</p>
"
"T","Lorie Watkins","Watkins, Lorie","<p>Lorie Watkins received her Ph.D. from the University of Southern Mississippi and is Professor of English at William Carey University. She recently edited and contributed to <em>A Literary History of Mississippi</em> and is the author of <em>William Faulkner, Gavin Stevens, and the Cavalier Tradition</em>. She has published various essays on Faulkner and is a former William Faulkner Society Faulkner and Yoknapatawpha Conference student fellow.</p>
"
"ADP","Lorie Watkins","Watkins, Lorie","<p>Lorie Watkins received her Ph.D. from the University of Southern Mississippi and is Professor of English at William Carey University. She recently edited and contributed to <em>A Literary History of Mississippi</em> and is the author of <em>William Faulkner, Gavin Stevens, and the Cavalier Tradition</em>. She has published various essays on Faulkner and is a former William Faulkner Society Faulkner and Yoknapatawpha Conference student fellow.</p>
"
"CB","Lorie Watkins","Watkins, Lorie","<p>Lorie Watkins received her Ph.D. from the University of Southern Mississippi and is Professor of English at William Carey University. She recently edited and contributed to <em>A Literary History of Mississippi</em> and is the author of <em>William Faulkner, Gavin Stevens, and the Cavalier Tradition</em>. She has published various essays on Faulkner and is a former William Faulkner Society Faulkner and Yoknapatawpha Conference student fellow.</p>
"
"TM","Lorie Watkins","Watkins, Lorie","<p>Lorie Watkins received her Ph.D. from the University of Southern Mississippi and is Professor of English at William Carey University. She recently edited and contributed to <em>A Literary History of Mississippi</em> and is the author of <em>William Faulkner, Gavin Stevens, and the Cavalier Tradition</em>. She has published various essays on Faulkner and is a former William Faulkner Society Faulkner and Yoknapatawpha Conference student fellow.</p>
"
"BE","Lorie Watkins","Watkins, Lorie","<p>Lorie Watkins received her Ph.D. from the University of Southern Mississippi and is Professor of English at William Carey University. She recently edited and contributed to <em>A Literary History of Mississippi</em> and is the author of <em>William Faulkner, Gavin Stevens, and the Cavalier Tradition</em>. She has published various essays on Faulkner and is a former William Faulkner Society Faulkner and Yoknapatawpha Conference student fellow.</p>
"
"MNK","Lorie Watkins","Watkins, Lorie","<p>Lorie Watkins received her Ph.D. from the University of Southern Mississippi and is Professor of English at William Carey University. She recently edited and contributed to <em>A Literary History of Mississippi</em> and is the author of <em>William Faulkner, Gavin Stevens, and the Cavalier Tradition</em>. She has published various essays on Faulkner and is a former William Faulkner Society Faulkner and Yoknapatawpha Conference student fellow.</p>
"
"KGB","Lorie Watkins","Watkins, Lorie","<p>Lorie Watkins received her Ph.D. from the University of Southern Mississippi and is Professor of English at William Carey University. She recently edited and contributed to <em>A Literary History of Mississippi</em> and is the author of <em>William Faulkner, Gavin Stevens, and the Cavalier Tradition</em>. She has published various essays on Faulkner and is a former William Faulkner Society Faulkner and Yoknapatawpha Conference student fellow.</p>
"
"SAS","Kristi Humphreys","Humphreys, Kristi","<p>Kristi Rowan Humphreys is Lecturer of English at Baylor University in Waco, Texas, where she teaches American literature, British Literature, and writing courses. Her publications include chapters on William Faulkner in anthologies with the University Press of Mississippi and Southeast Missouri State University Press. Research interests primarily focus on Faulkner's fiction in men's magazines.</p>
"
"SNP","Scott T. Chancellor","Chancellor, Scott T.","<p>Lieutenant Colonel Scott T. Chancellor, speechwriter and analyst for the Chief of Staff of the Army, taught at the United States Military Academy before moving to the Pentagon.  He hosted the 2012 conference ""Faulkner and West Point at 50: The Writer in Public,"" and is editing a volume of papers from it.  He is also working on a manuscript entitled <em>Faulkner's Judaism: Unraveling the Myths of Origins</em>.</p>
"
"RAI","Scott T. Chancellor","Chancellor, Scott T.","<p>Lieutenant Colonel Scott T. Chancellor, speechwriter and analyst for the Chief of Staff of the Army, taught at the United States Military Academy before moving to the Pentagon.  He hosted the 2012 conference ""Faulkner and West Point at 50: The Writer in Public,"" and is editing a volume of papers from it.  He is also working on a manuscript entitled <em>Faulkner's Judaism: Unraveling the Myths of Origins</em>.</p>
"
"TWS","Scott T. Chancellor","Chancellor, Scott T.","<p>Lieutenant Colonel Scott T. Chancellor, speechwriter and analyst for the Chief of Staff of the Army, taught at the United States Military Academy before moving to the Pentagon.  He hosted the 2012 conference ""Faulkner and West Point at 50: The Writer in Public,"" and is editing a volume of papers from it.  He is also working on a manuscript entitled <em>Faulkner's Judaism: Unraveling the Myths of Origins</em>.</p>
"
"LD","John Corrigan","Corrigan, John","<p>John Michael Corrigan is Professor of English at National Chengchi University in Taiwan. His books include <em>Faulkner's Cartographies of Consciousness</em> (Cambridge University Press, Forthcoming 2024). <em>American Metempsychosis: Emerson, Whitman, and the New Poetry</em> (Fordham University Press, 2012), and the edited volume <em>Romantic Legacies: Transnational and Transdisciplinary Contexts</em> (Routledge, 2019).</p>
"
"H","John Corrigan","Corrigan, John","<p>John Michael Corrigan is Professor of English at National Chengchi University in Taiwan. His books include <em>Faulkner's Cartographies of Consciousness</em> (Cambridge University Press, Forthcoming 2024). <em>American Metempsychosis: Emerson, Whitman, and the New Poetry</em> (Fordham University Press, 2012), and the edited volume <em>Romantic Legacies: Transnational and Transdisciplinary Contexts</em> (Routledge, 2019).</p>
"
"M","John Corrigan","Corrigan, John","<p>John Michael Corrigan is Professor of English at National Chengchi University in Taiwan. His books include <em>Faulkner's Cartographies of Consciousness</em> (Cambridge University Press, Forthcoming 2024). <em>American Metempsychosis: Emerson, Whitman, and the New Poetry</em> (Fordham University Press, 2012), and the edited volume <em>Romantic Legacies: Transnational and Transdisciplinary Contexts</em> (Routledge, 2019).</p>
"
"BAR","John Corrigan","Corrigan, John","<p>John Michael Corrigan is Professor of English at National Chengchi University in Taiwan. His books include <em>Faulkner's Cartographies of Consciousness</em> (Cambridge University Press, Forthcoming 2024). <em>American Metempsychosis: Emerson, Whitman, and the New Poetry</em> (Fordham University Press, 2012), and the edited volume <em>Romantic Legacies: Transnational and Transdisciplinary Contexts</em> (Routledge, 2019).</p>
"
"LD","Jennie J. Joiner","Joiner, Jennie J.","<p>Jennie J. Joiner is a Professor of English at Keuka College in upstate New York, where she teaches American literature courses grounded in studies of place and geography. Her publications include articles on William Faulkner in the <em>Faulkner Journal</em>, <em>Mississippi Quarterly</em>, the <em>Flannery O'Connor Review</em>, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, edited by Theresa M. Towner and published by the University of Virginia Press.</p>
"
"UV","Jennie J. Joiner","Joiner, Jennie J.","<p>Jennie J. Joiner is a Professor of English at Keuka College in upstate New York, where she teaches American literature courses grounded in studies of place and geography. Her publications include articles on William Faulkner in the <em>Faulkner Journal</em>, <em>Mississippi Quarterly</em>, the <em>Flannery O'Connor Review</em>, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, edited by Theresa M. Towner and published by the University of Virginia Press.</p>
"
