"SourceTextTitle","SourceTextCode","PageNumber","PageEventEnds","Location","LocationCode","CharactersPresent","NarrativeStatus","Date","Era","Body","characters_introduced","eventname","fade","importance","lab","mark","n","Remembered","s","style","x","y","First 8-10 words of event","Nid","OrderWithinPage","Chronological Order","Summary","Keywords","CharactersMentioned","Indeterminate Date Range","kw_actions","kw_aesthetics","kw_cultural_issues","kw_environment","kw_relationships","kw_themes_and_motifs"
"Absalom, Absalom!","AA","271","271","New Orleans, Louisiana","146","15455, 15454, 15452","Told","1862-04-07 to 1862-05-30","Civil War (1861-1865)","","","","","","","","","","","","","","and so without doubt the lawyer had murdered her","24564","271.02","324.00","<p>""Without doubt,"" according to Shreve, the lawyer Bon's mother hired murders her and steals her money (271).  [SOURCE: Shreve]</p>","","","0","Movement > Running away | Violent > Murder","","Crime > Murder | Crime > Theft|Robbery","","","Absence/Loss > Abandonment"
"Absalom, Absalom!","AA","155","155","New Orleans, Louisiana","146","15466","Narrated","1859-01-01 to 1859-12-31","Antebellum (1831-1860)","","","","","","","","","","","","","","Charles Etienne Saint-Valery Bon.  1859-1884","24563","155.04","155.10","<p>Charles Etienne Saint-Valery Bon born.  Although his tombstone does not say anything else except ""1859-1884,"" he was almost certainly born in New Orleans (155).  [SOURCE: Narrator]</p>","","","0","","","","","","Objects > Tombstone"
"Absalom, Absalom!","AA","155","155","Sutpen Plantation Graveyard","1108","15460, 15470","Narrated","1908-09-01 to 1908-10-31","Turn of the Century (1890-1913)","","","","","","","","","","","","","","feeling his father watching him, remarking before","24562","155.05","469.30","<p>While his father continues to watch him, Quentin ""reads"" another of the tombstones in the Sutpen graveyard.  [SOURCE: Narrator]</p>","","15463, 15466, 15462","0","","","","","","Objects > Tombstone"
"Absalom, Absalom!","AA","155","155","Sutpen Plantation Graveyard","1108","15460, 15470","Narrated","1908-09-01 to 1908-10-31","Turn of the Century (1890-1913)","","","","","","","","","","","","","","He could feel his father watching him.","24561","155.03","469.10","<p>Quentin continues to read the tombstones, while his father helps him understand the story they tell.  [SOURCE: Narrator; Father]</p>","","15463, 15462","0","","","","","Familial > Father-son","Animals > Dogs | Meaning > Interpretation | Objects > Tombstone"
"Absalom, Absalom!","AA","155","155","New Orleans, Louisiana","146","","Narrated","1831-10-01 to 1831-12-31","Antebellum (1831-1860)","","","","","","","","","","","","","","Charles Bon.  Born in New Orleans, Louisiana.  Died","24560","155.02","38.50","<p>Bon's headstone says he was born in New Orleans, which is probably wrong (he was more likely born in Haiti).  It doesn't mention that he is Sutpen's son.  [SOURCE: Narrator]</p>","","","0","","","","","","Objects > Tombstone"
"Absalom, Absalom!","AA","128","129","Sutpen Plantation","017","15451, 15465, 15462, 15469","Told","1866-01-01 to 1866-01-31","Reconstruction (1866-1889)","","","","","","","","","","","","","","As Judith and Clytie did, I stood there","24559","128.01","387.05","<p>Rosa resumes telling about the day Sutpen returns after the war.  Judith tells her father that ""Henry killed him"" - that is, Bon (128).  [SOURCE: Rosa]</p>","","15463, 15461","0","Bodily > Crying","","Crime > Murder","","Familial > Conflict","Arrivals/Departures > Return from war"
"Absalom, Absalom!","AA","127","128","Sutpen Plantation Gardens","1107","15465, 15469","Told","1866-04-01 to 1866-04-30","Reconstruction (1866-1889)","","","","","","","","","","","","","","And then one evening I became engaged to marry him.","24558","127.02","393.10","<p>Three months after Sutpen returns from the war, Rosa becomes engaged to him.  [SOURCE: Rosa]</p>","","15456","0","Emotional > Self-consciousness","","","","Romantic > Engagement","Past > Freedom from it"
"Absalom, Absalom!","AA","72","72","New Orleans, Louisiana","146","15461","Told","1860-12-27 to 1861-01-31","Antebellum (1831-1860)","","","","","","","","","","","","","","not to speak of what he learned, saw with his own","24557","72.04","276.10","<p>Mr. Compson anticipates Henry's trip to New Orleans with Bon, and ""what he . . . saw with his own eyes"" when he got there (72).  [SOURCE: Father]</p>","","","0","Mental > Discovery","Narrative > Anticipation","","","",""
"Absalom, Absalom!","AA","62","62","Sutpen Plantation","017","15456","Told","1860-12-25 to 1863-01-23","Civil War (1861-1865)","","","","","","","","","","","","","","And Ellen was not visible (she seemed to have retired","24556","62.02","267.40","<p>Ellen Coldfield ""retires"" to her bed immediately after Sutpen forbids the marriage, and stays there until her death ""two years later"" (62).  [SOURCE: Father]</p>","","","0","Emotional > Defeat","","","","","Death > Deathbed"
"Absalom, Absalom!","AA","48","48","Sutpen Plantation","017","","Told","1909-09-06","Turn of the Century (1890-1913)","","","","","","","","","","","","","","Only I have always liked to believe that he intended","24555","48.03","496.05","<p>Mr. Compson speculates that, because Sutpen was not an educated man, he gave his enslaved daughter Clytemnestra the wrong name.  [SOURCE: Father]</p>","","","0","","Allusion, Mythical > Cassandra | Narrative > Irony","Education > Self-taught","","","Naming > Importance of naming"
