"TextCode","DisplayTitle","Start","Stop","Tooltip Title"
"RQ","Act III: 1","206","224","Act III: 1"
"RQ","Act III","167","206","Act III"
"RQ","Act II: 3","153","166","Act II: 3"
"RQ","Act II: 2","136","152","Act II: 2"
"RQ","Act II: 1","79","136","Act II: 1"
"","Act II","79","89","Act II"
"RQ","Act I: 3","59","77","Act I: 3"
"RQ","Act I: 2","41","59","Act I: 2"
"RQ","Act I: 1","38","41","Act I: 1"
"RQ","Act I","3","38","Act I"
"","Act I: 1","38","41","Act I: 1"
"","Act I (prose)","3","38","Act I"
"KGB","5","250","258","5"
"KGB","4","232","250","4"
"KGB","3","204","232","3"
"KGB","2","181","204","2"
"KGB","1","147","181","1"
"MZG","V","381","381","V"
"MZG","IV","378","380","IV"
"MZG","III","375","378","III"
"MZG","II","371","374","II"
"MZG","I","368","370","I"
"TWB","VI","286","288","VI"
"TWB","V","281","286","V"
"TWB","IV","278","281","IV"
"TWB","III","274","278","III"
"TWB","II","269","274","II"
"TWB","I","265","269","I"
"HUW","4","84","86","4"
"HUW","3","77","84","3"
"HUW","2","70","77","2"
"HUW","1","67","70","1"
"AA","9","288","303","Chapter 9"
"AA","8","235","287","Chapter 8"
"AA","7","176","234","Chapter 7"
"AA","6","141","175","Chapter 6"
"AA","5","107","140","Chapter 5"
"AA","4","70","106","Chapter 4"
"AA","3","46","69","Chapter 3"
"AA","2","23","45","Chapter 2"
"AA","1","3","22","Chapter 1"
"M","18","458","478","18"
"M","17","435","457","17"
"M","16","398","434","16"
"M","15","384","397","15"
"M","14","354","383","14"
"M","13","323","353","13"
"M","12","285","322","Flem: 12"
"M","11","281","283","11: Charles Mallison"
"M","10","258","280","10: Gavin Stevens"
"M","9","227","257","9: Charles Mallison"
"M","8","199","226","8: Charles Mallison"
"M","7","168","198","7: V.K. Ratliff"
"M","6","121","167","Linda: 6: V.K. Ratliff"
"","5","98","119","5"
"M","4","72","97","4: Montgomery Ward Snopes"
"M","3","57","71","3: V.K. Ratliff"
"M","2","44","56","2"
"M","1","3","43","Mink: 1"
"T","24","374","390","Twenty Four: Charles Mallison"
"T","23","364","373","Twenty Three: V.K. Ratliff"
"T","22","362","363","Twenty Two: Gavin Stevens"
"T","21","352","361","Twenty One: Charles Mallison"
"T","20","327","351","Twenty: Gavin Stevens"
"T","19","315","326","Nineteen: Charles Mallison"
"T","18","310","314","Eighteen: V.K. Ratliff"
"T","17","274","309","Seventeen: Gavin Stevens"
"T","16","241","273","Sixteen: Charles Mallison"
"T","15","212","240","Fifteen: Gavin Stevens"
"T","14","204","211","Fourteen: Charles Mallison"
"T","13","202","203","Thirteen: Gavin Stevens"
"T","12","187","201","Twelve: Charles Mallison"
"T","11","186","186","Eleven: V.K. Ratliff"
"T","10","162","185","Ten: Charles Mallison"
"T","9","161","161","Nine: V.K. Ratliff"
"T","8","140","160","Eight: Gavin Stevens"
"T","7","109","139","Seven: Charles Mallison"
"T","6","102","108","Six: V.K. Ratliff"
"T","5","93","101","Five: Gavin Stevens"
"T","4","82","92","Four: V.K. Ratliff"
"T","3","47","81","Three: Charles Mallison"
"T","2","31","46","Two: Gavin Stevens"
"T","1","3","30","One: Charles Mallison"
"MGM","IV","697","699","IV"
"MGM","III","681","697","III"
"MGM","II","672","681","II"
"MGM","I","667","672","II"
"HR","III","145","148","III"
"HR","II","137","144","II"
"HR","I","131","137","I"
"GOL","III","236","237","III"
"GOL","II","229","236","II"
"GOL","I","226","229","I"
"FAH","III","132","134","III"
"FAH","II","120","131","II"
"FAH","I","118","120","I"
"GDM","GD,M","351","365","Go Down, Moses"
"GDM","DA","319","347","Delta Autumn"
"GDM","The Bear","181","315","The Bear"
"GDM","OP","155","178","The Old People"
"GDM","PIB","129","152","Pantaloon in Black"
"GDM","Fire and Hearth","33","126","The Fire and the Hearth"
"GDM","Was","5","30","Was"
"LJC","IV","147","151","IV"
"LJC","III","142","147","III"
"LJC","II","138","141","II"
"LJC","I","134","138","I"
"H","Peasants 2","370","406","Peasants: Two"
"H","Peasants 1","299","369","Peasants: One"
"H","Long Summer 2","227","296","Long Summer: Two"
"H","Long Summer 1","173","226","Long Summer: Two"
"H","Eula 2","141","170","Eula: Two"
"H","Eula 1","105","140","Eula: One"
"H","Flem 3","56","101","Flem: Three"
"H","Flem 2","27","55","Flem: Two"
"H","Flem 1","1","26","Flem: One"
"UV","Verbena","211","254","An Odor of Verbena"
"UV","Skirmish","187","210","Skirmish at Sartoris"
"UV","Vendee","155","186","Vendee"
"UV","Riposte","119","154","Riposte in Tertio"
"UV","Raid","77","118","Raid"
"UV","Retreat","37","75","Retreat"
"UV","Ambuscade","3","35","Ambuscade"
"J","V","358","360","V"
"J","IV","354","358","IV"
"J","III","350","353","III"
"J","II","345","350","II"
"J","I","343","345","I"
"R","13","269","298","Chapter 13"
"R","12","247","268","Chapter 12"
"R","11","234","246","Chapter 11"
"R","10","208","233","Chapter 10"
"R","9","184","207","Chapter 9"
"R","8","159","183","Chapter 8"
"R","7","135","158","Chapter 7"
"R","6","114","134","Chapter 6"
"R","5","90","113","Chapter 5"
"R","4","70","89","Chapter 4"
"R","3","43","69","Chapter 3"
"R","2","17","42","Chapter 2"
"R","1","3","16","Chapter 1"
"ADP","VII","528","531","VII"
"ADP","VI","527","528","VI"
"ADP","V","521","527","V"
"ADP","IV","519","521","IV"
"ADP","III","515","519","III"
"ADP","II","512","515","II"
"ADP","I","511","512","I"
"","VII","527","531","VII"
"","VI","527","528","VI"
"","V","521","527","V"
"","IV","519","521","IV"
"","III","515","519","III"
"","II","512","515","II"
"","I","511","512","I"
"ID","Eleven","230","241","Eleven"
"ID","Ten","202","229","Ten"
"ID","Nine","176","201","Nine"
"ID","Eight","163","175","Eight"
"ID","Seven","141","162","Seven"
"ID","Six","117","140","Six"
"ID","Five","103","116","Five"
"ID","Four","72","102","Four"
"ID","Three","45","71","Three"
"ID","Two","17","44","Two"
"ID","One","3","16","One"
"CB","VI","168","168",""
"CB","V","166","168",""
"CB","IV","162","166",""
"CB","III","158","162",""
"CB","II","153","158",""
"CB","I","149","152",""
"SAS","II","69","73",""
"SAS","I","58","69",""
"LD","C","258","261","Cash (5)"
"LD","DD","255","257","Dewey Dell (4)"
"LD","D","253","254","Darl (19)"
"LD","V","249","252","Vardaman (10)"
"LD","MG","241","248","MacGowan"
"LD","P","239","240","Peabody (2)"
"LD","C","232","238","Cash (4)"
"LD","D","226","231","Darl (18)"
"LD","V","223","225","Vardaman (9)"
"LD","D","218","222","Darl (17)"
"LD","V","214","217","Vardaman (8)"
"LD","D","212","213","Darl (16)"
"LD","V","210","211","Vardaman (7)"
"LD","D","206","209","Darl (15)"
