"Code","Title","About","First Publisher","First Publisher Location","First Publisher Date","Edit Copy Publisher","Edit Copy Publisher Location","Edit Copy Publisher Date","Page Start","Page Stop","DIsplayOrder","Publication Date","Citation","nid"
"NC","""A Name for the City""","<p>""A Name for the City,"" Faulkner said, was a ""by-product"" of his work on the novel <em>Requiem for a Nun</em> (1951).  When he sent the 24-page typescript of the story to his agent, Harold Ober, in July, 1950, Faulkner said ""I would like to have a Sat Eve Post price"" for the story. <em>The Saturday Evening Post</em>, where seventeen of his short stories had already been published, paid writers the most money.  But, he added, ""I feel that every writer (old bloke) owes some gesture to the Harper golden issue"" - referring to the 100th anniversary issue that <em>Harper's</em> magazine had announced - and suggested Ober said the story to them ""in case you dont get a good price anywhere"" else.  <em>Harper's</em> bought the story for $500 and did publish it in its Centennial issue in October, 1950.  When the story appeared, it was identified as ""<em>the eleventh Faulkner story that has appeared in</em> Harper's.""</p>
<p>Our representation of the story is based on that original publication.  The story was not written in time for Faulkner to consider including it in his <em>Collected Stories</em> (1950), and Joseph Blotner did not choose to reprint it in his edition of Faulkner's <em>Uncollected Stories</em> (1979).  The story it tells forms the first twenty pages of the opening section of <em>Requiem</em>: ""Act I The Courthouse (A Name for the City).""  As Noel Polk notes, for the novel Faulkner made ""numerous stylistic revisions"" in the text, and a major structural one: in the novel the story is told in the third-person, without the first-person narrator and his ""Uncle.""  The novel also includes other Yoknapatawpha names on the list of those present in the town’s development - ""Sartoris and Stevens, Compson and McCaslin and Sutpen and Coldfield.""  Where the story stops as soon as the settlement gets its name, the novel goes on to recount the building and the continuing history of the county courthouse, including its destruction during the Civil War and its eventual reconstruction and modernization.</p>
<p>The short story is unusual in the manner of its telling: the narrator says he learned the story from ""Uncle Gavin"" (200), although most of the events occur over a hundred years earlier, not long before the time of the Great Removal of the Five Civilized Tribes to Oklahoma.  The narrator, who is surely Charles (Chick) Mallison, newphew of Gavin Stevens and a character as well as a frequent narrator in other Faulkner fictions, seems to be imitating or adapting his uncle's familiar Faulknerian rhetoric.  The historical range of the story runs from about the turn into the 19th century to the middle of the 20th, contrasting the humorous or heroic behavior of the early settlers with the questionable preoccupations of the ""present day"" city’s leading citizens and providing a significant complex of additions to the history of Faulkner's mythical county.</p>
<p><strong>Dating the Story</strong>: Our 1830 setting in time is much more precise than the actual narrative, which avoids giving its actions definite dates.  There are a number of specific chronological referents in ""A Name for the City."" The militia band that captures the bandits are ""ejected"" by the settlement that becomes Jefferson on the day after the ""Fourth of July"" (201); the bandits break out of the jail and precipitate the crisis that results in giving the place its name ""almost a quarter of a century"" after the first white settlers' arrival (200); the Chickasaw Indians who were there first, and still there during the story, were removed to Oklahoma ""in the thirties"" - that is, the 1830s (202).  But providing a date for the story is ultimately an interpretive act, and in some respects an arbitrary one.  Our choice of 1830 is an attempt to balance competing probabilities.  By putting the tale's July 4th about as late as possible before ""the thirties,"" we make the arrival of Yoknapatawpha's first white inhabitants occur in 1805 - about as early as historically possible.  But it needs to be emphasized that ""1830"" is our choice; Faulkner may have been thinking of a time half a decade earlier or later.</p>
<p>SOURCES: Joseph Blotner, ed., <em>Selected Letters of William Faulkner</em>, 306; Noel Polk, <em>Faulkner's Requiem for a Nun: A Critical Study</em>, 18.</p>
","Harper's Magazine","","October 1950","Harper's Magazine","","1950","200","214","62.50","1950-10-01","<p>How to cite this resource:<br />
Carothers, James B. and Stephen Railton.  ""Faulkner's 'A Name for the City.'"" Added to the project: 2018.  Additional editing 2020: Stephen Railton; 2022: Jennie J. Joiner. <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","18525"
"RAM","""Race at Morning""","<p>The immediate precipitant for the story was the cost of Jill Faulkner's wedding in August 1954.  A month afterwards her father wrote his stepson to say that he had ""just finished a hunting story Post should buy, maybe $2000.00, am happy to be earning again.""  It has obvious connections to the hunting stories Faulkner told in <em>Go Down, Moses</em> (1942).  Although its tone is comic rather than epic-elegiac, ""Race at Morning"" is like ""The Bear"" in being about an extraordinary chase after an old adversary on the last day of the season.  Most of the story's hunters are the same Yoknapatawpha men who went on the novel's annual hunts - Walter Ewell, Roth Edmonds, Will Legate, Ike McCaslin.  And the two major new characters, from the Delta region where the hunt takes place, are cast in the familiar roles of surrogate father and man-in-training that were earlier played by Sam Fathers and Ike.  The surrogate father's name - Mister Ernest - suggests the possibility that Faulkner also wanted imaginatively to link the story to Ernest Hemingway, who had just won the Nobel Prize (five years after Faulkner), largely on the basis of his great ""hunting"" story, <em>The Old Man and the Sea</em> (1952).  The ending of Faulkner's story, however, is much more optimistic than either his novel, or Hemingway's novella.</p>
<p>Faulkner was right about <em>The Saturday Evening Post</em>, which bought the story for $2500 and published it on 5 March 1955.  Faulkner revised it slightly for his 1955 collection <em>Big Woods</em>.  Joseph Blotner reprinted the <em>Post</em> version of the story in his edition of the <em>Uncollected Stories</em>, which is the basis for our representation of it here.</p>
","The Saturday Evening Post","","March 1955","Vintage International","New York","1997","296","310","64.00","1955-03","<p>How to cite this resource:<br />Coleman, Robert, and Stephen Railton.  ""Faulkner's 'Race at Morning.'""  Added to the project: 2016.   Additional editing 2018: Robert Coleman, and Stephen Railton.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","4676"
"KGB","""Knight's Gambit""","<p>The original typescript for ""Knight's Gambit"" dates to 1942.  Faulkner sent a story of that name to his agent Harold Ober.  The piece found no publisher.  Half a dozen years later Faulkner decided to rewrite the tale, informing his agent, ""I found what was wrong with the KNIGHT'S GAMBIT piece.  It's not a short story, but a novella.  I am rewriting it into a 100 plus page novella to be included in a collected volume of the Gavin Stevens detective stories."" The revised novella appears as the final tale in <em>Knight's Gambit</em>, published by Random House in 1949.  Our representation of the story is based on the Vintage International edition of the volume (2011).</p>
<p>Interestingly, the story's main action transpires on the three days before December 7, 1941 - the date that lives in infamy as the day the Japanese attacked Pearl Harbor.  The conflicts in the novella, however, are romantic and familial. It follows the chess playing lawyer (Gavin Stevens) and his nephew (Charles ""Chick"" Mallison) as they thwart a young man's (Max Harriss') murderous attempt to prevent a foreign suitor (Sebastian Gualdres) marrying his widowed mother (Mrs. Harriss).  In the process, Stevens reveals part of his own checkered history, which concerns his errancy as a knight-errant.  Twenty years earlier, right after the first World War, while he was betrothed to the woman who becomes Mrs. Harriss, Gavin had an affair with an unnamed Russian émigré in Paris.  Like an attacking knight on the chessboard, he tried to cover both love interests simultaneously, but mistakenly mailed each woman a letter meant for the other woman.  Both affairs broke down.  In reaction to his loss, Stevens supplemented the pastime of chess with another form of structural recreation: his ""rendering of the Old Testament back into the classic Greek into which it had been translated from its lost Hebrew infancy"" (207).  This project soon amounted to ""that ritual of the Translation which the whole family referred to with a capital T"" (207), a consuming habit that was, by analogy, nothing other than a meticulous and tireless recapitulation of the forked T of his European missives, the midgame that Stevens should have played with more care.  Stevens learns from his mistake.  He plays his endgame with skill: having prevented homicide, he packs Max off to the army, he finds Gualdres a bride in Mrs. Harriss's daughter, and he marries the widow himself.  In the meantime, Chick matures into Charles, and joins the Army air corps.</p>
<p>One may speculate on Faulkner's self-evaluation as an artist in the novella.  For, when Miss Harriss and Miss Cayley fight in Stevens's office, the chessboard gets knocked over, and Chick later finds his uncle sitting ""among the scattered chessmen.""  Does Stevens represent the Faulkner of 1949, the writer whose modernist experiments with structure had helped to make his name, but whose later works would attempt to free his characters from structuralist delimitations?</p>
<p>SOURCE: Joseph Blotner, ed., <em>Selected Letters of William Faulkner</em>.</p>
","Random House","New York","1949","Vintage International","New York","2011","147","258","62.00","1949-11-27","<p>How to cite this resource:<br />
Joiner, Jennie J., Mike Wainwright and Lorie Watkins. ""Faulkner's 'Knight's Gambit.'"" Added to the project: 2019. Additional editing 2020, 2021: Jennie J. Joiner, Lorie Watkins.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","4675"
"CRT","""A Courtship""","<p>""A Courtship"" was written in the spring, 1942, about a decade after Faulkner's other Indian stories.  It was rejected by half a dozen magazines before the <em>Sewanee Review</em> finally offered $200 for it in 1948.  When he accepted the offer, Faulkner asked them to change the name he originally gave the white steamboat pilot from Calicoat (a name he had used for the pilot in ""A Justice,"" 1931) to Hogganbeck.  As he told his agent, ""I wrote that story before I had my Yoknapatawpha genealogy straightened out.""  The renamed David Hogganbeck thus becomes the grandfather of Boon Hogganbeck, who plays prominent roles in both <em>Go Down, Moses</em> (1942) and <em>The Reivers</em> (1962).</p>
<p>At first reading, ""A Courtship"" seems like a bit of Faulknerian fluff: mock-heroic in tone, it seemingly recounts the romantic rivalry between the Indian Ikkemotubbe and the white Hogganbeck, for the lovely sister of Indian Herman Basket.  For many readers, however, the story's most interesting courtship is between the two male protagonists.  Neither of them wins the woman's heart.  When she marries someone else, Ikkemotubbe in particular is devastated; he leaves his family and tribe only to return years later self-christened as Doom, with eight slaves and a box of poison. Ikkemotubbe|Doom appears in Faulkner's first two Indian stories and is referred to in other texts, including the so-called Compson Appendix to <em>The Sound and the Fury</em>; the details of his family history vary among these, but his biographical arc remains consistent.  He is the corrupt, murderous leader of a people also corrupted by the institutions of a white culture that literally removes them from its midst.</p>
<p><em>Sewanee</em> published the story in October 1948.  It won the 1949 O. Henry Prize. In 1950 Faulkner reprinted it in his <em>Collected Stories</em>, as the first of four stories about Native Americans; our representation of the story is based on that publication.  ""A Courtship"" was the last published of the forty-two tales included in <em>Collected Stories</em>, and is among the last short stories Faulkner ever wrote.</p>
<p><strong>Dating the Story</strong>: Faulkner wrote three stories about the Yoknapatawpha Indian tribe once ruled by Ikkemotubbe|Doom. Certain events occur in all three, in particular Ikkemotubbe's trip to New Orleans and return some years later as Doom. Though third in order of publication,  ""A Courtship"" comes first in terms of Ikkemotubbe's life.  But its specific reference to the treaty between chief Issetibbeha (here Ikkemotubbe's uncle) and General Andrew Jackson means that Ikkemotubbe's trip has to take place chronologically years after the same trip takes place in either ""Red Leaves"" or ""A Justice."" This kind of discrepancy almost certainly didn't matter to Faulkner, but it means that any date we choose for this ""courtship"" is essentially speculative. Our speculations have some basis: we locate the story and the later telling of it between the historic treaty the Chickasaws signed with the U.S. government in 1818, and the removal of the tribe from Mississippi by the U.S. government in the early 1830s. But Faulkner may have had different dates in mind as he wrote.</p>
","Sewanee Review","","Fall 1948","Vintage International","","1995","361","380","60.00","1948-09","<p>How to cite this resource:<br />Railton, Stephen, and Theresa M. Towner.  ""Faulkner's 'A Courtship.'""  Added to the project: 2016. Additional editing 2020-2021: Ben Robbins, Jennie J. Joiner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","4674"
"EIC","""An Error in Chemistry""","<p>""An Error in Chemistry"" is the fifth story in <em>Knight's Gambit</em>, Faulkner's 1949 collection of six detective stories published by Random House. It originally appeared in <em>Ellery Queen's Mystery Magazine</em> in June 1946 - six years after it was written. Indeed, it was rejected by the <em>Saturday Evening Post</em> in 1940, and seven other magazines subsequently turned it down before it was bought by ""Ellery Queen."" Faulkner received $300 for the story, and then another $250 because it was selected for second prize in a mystery fiction contest the magazine sponsored. A television version of ""An Error in Chemistry,"" titled ""Climax,"" was aired by CBS on 2 December 1954. The television network paid Faulkner $1,000 to broadcast the adaptation of his story. Like the other texts in <em>Knight's Gambit</em>, ""An Error in Chemistry"" has elicited limited scholarly response although the story includes Yoknapatawpha County Attorney Gavin Stevens, one of Faulkner's favorite characters; in addition to the detective prowess he displays throughout <em>Knight's Gambit</em>, he appears in over a dozen other texts and plays major roles in <em>Intruder in the Dust</em> (1948) and both <em>The Town</em> (1957) and <em>The Mansion</em> (1959), the last two volumes in the Snopes Trilogy. Although not named in the story, the narrator of ""An Error in Chemisty"" is Gavin's nephew, Chick Mallison, who narrates most of the other stories in <em>Knight's Gambit</em> and much of those two Trilogy volumes, and is himself a major character in <em>Intruder in the Dust</em>. Our representation of the story is based on the version published in the October 2011 Vintage International Edition of <em>Knight's Gambit</em>.</p>
<p>SOURCES: Joseph Blotner, <em>Faulkner: A Biography</em>; Harry A. Runyan, <em>A Faulkner Glossary</em>; and A. Nicholas Fargnoli and Michael Golay, <em>William Faulkner A to Z: The Essential Reference to his Life and Work</em>.</p>
","Ellery Queen's Mystery Magazine","","June 1946","Vintage International","New York","2011","113","137","59.00","1946-06","<p>How to cite this resource:<br />
Coleman, Robert, and Christopher Rieger. ""Faulkner's 'An Error in Chemistry.'"" Added to the project: 2018. Additional editing 2021: Ben Robbins, Theresa M. Towner.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","4673"
"BAR","""The Bear""","<p>This version of Faulkner's great novella originally appeared in <em>The Saturday Evening Post</em> on May 9, 1942.  In July of the previous year, Faulkner began work on the hunting story about a mythic bear which would eventually become the fifth and longest segment of <em>Go Down, Moses</em> (1942).  By September 9, he sent the first two sections of ""The Bear"" to Random House and, in the following two months, he revised them, using most of the first section and the initial pages of the second, into a story that he could sell to a magazine for badly needed cash.  He concluded this now much shortened story with new material that would become part of section four of ""The Bear"" in <em>Go Down, Moses</em>.  The two versions of ""The Bear"" appeared in print virtually simultaneously: the novel was published on May 11, just two days after the story.</p>
<p>The unnamed boy at the center of this story is a good example of how Faulkner recreated his cast of characters over the course of his career.  As Faulkner worked on the various hunting stories that would eventually become part of <em>Go Down, Moses</em>, the identity of the boy-hunter and his father underwent significant transformation.  In <em>Harper</em>'s 1935 publication of ""Lion,"" later reworked into section three of ""The Bear"" of <em>Go Down, Moses</em>, a sixteen-year-old Quentin Compson serves as the youthful narrator of the story.  Faulkner maintained Quentin's role in the earliest surviving typescript of ""The Old People,"" but by 1939 when he submitted a slightly longer typescript for magazine publication, it is no longer clear that the boy-hunter is a Compson for he had become, as in this magazine version of ""The Bear,"" an anonymous protagonist.  By the time Faulkner began to compose the manuscript of ""The Bear"" two years later, he had already formulated a larger working narrative that featured the boy-hunter as Isaac ""Ike"" McCaslin.</p>
<p><strong>Dating the Story</strong>: Our representation of the story is based on the magazine text reprinted in the <em>Uncollected Stories</em>, edited by Joseph Blotner.  Because so much of this story is consistent with ""The Bear"" of <em>Go Down, Moses</em>, we have chosen to use Ike McCaslin's birth year of 1867 as the same for the unnamed boy in this story, which means that the story opens when the boy is ten in November 1877.  To some degree, this dating is conjectural, based not on internal evidence in the story itself, but on its compositional relationship to the narrative that Faulkner had already established for <em>Go Down, Moses</em>.   Dating the events of ""The Bear"" relative to each other is relatively straightforward, as the boy hunter's age and the month in which events occur are usually given.  The main action of the story spans from the boy's first November hunting trip when he is ten to April when he is fourteen.  However, it is impossible to discern from evidence in the story an absolute accounting of the years that the story takes place.  Circumstantial clues in the story, such as the fact that General Compson was ""old enough"" to lead a brigade in 1865 but in the present-day action is still young enough to hunt, means it has to take place within a few decades of the Civil War.</p>
","Saturday Evening Post","","May 9, 1942","Vintage International","New York","1997","281","295","53.00","1942-05-09","<p>How to cite this resource:<br />Corrigan, John, and John Padgett.  ""Faulkner's 'The Bear.'""  Added to the project: 2015. Additional editing 2021: Jennie J. Joiner, John Padgett. <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","4672"
"HUW","""Hand Upon the Waters""","<p>William Faulkner’s “Hand Upon the Waters,” the third episode in <em>Knight’s Gambit</em> (1949), first appeared a decade earlier in the <em>Saturday Evening Post</em> (4 November 1939). Our representation of the story draws on the Vintage International paperback edition of the book (2011).</p>
<p>Faulkner takes his story's title from the first of the ten biblical Plagues of Egypt recounted in the Old Testament: ""And the LORD spake unto Moses, Say unto Aaron, Take thy rod, and stretch out thine hand upon the waters of Egypt, upon their streams, upon their rivers, and upon their ponds, and upon all their pools of water, that they may become blood; and that there may be blood throughout all the land of Egypt, both in vessels of wood, and in vessels of stone"" (Exodus 7:19).1 The death of Lonnie Grinnup has turned the river near his hut into a loathsome spot. Grinnup's decomposing body has been discovered attached to his own fishing line. Fish are literally feeding on the corpse. The coroner’s verdict is drowning by misadventure. Everyone agrees. Everyone, that is, except Gavin Stevens.</p>
<p>Stevens, who figures in all six of the <em>Knight's Gambit</em> stories as Faulkner’s Sherlock Holmes, smells something fishy about the death. In ""A Scandal in Bohemia"" (1891), Arthur Conan Doyle's Sherlock Holmes upbraids his companion Dr. John Watson. ""You see,"" chides Holmes, ""but you do not observe."" Stevens could say the same about the witnesses and authorities in the Grinnup case, and uses his own observations about the way one fishes with a trotline to establish that Grinnup was murdered.  Alone, he confronts the killer, and the dénouement, with the killer strung on Grinnup’s trotline, provides a sort of extralegal justice, one that does not involve the authorities but that does, in its own fashion of vengeance, recall another passage from the Old Testament.</p>
<p><strong>Mapping the Story</strong>: The fact that Lonnie's shack sits ""almost in the exact center"" of the massive tract of land which his ancestor once owned, and that that ancestor is named ""Grenier,"" are enough to indicate that the events of the story take place in and around Frenchman's Bend, one of the settings in Yoknapatawpha County that Faulkner's imagination regularly returns to.  Although Stevens only drives ""eight miles"" to reach the site of the inquest, and Frenchman's Bend is elsewhere located twelve to twenty miles away from Jefferson, ""Louis Grenier"" - Lonnie's official name - is the original of the ""Old Frenchman"" after whom the Bend is named.</p>
<p><strong>Dating the Story</strong>: The story begins on a Saturday, and its first paragraph says that the river in which Lonnie is drowned is ""at mid-July level,"" which gives us the month in which the events take place.  The text provides no clear evidence about the year, so we follow the protocol that is deployed throughout Digital Yoknapatawpha: in the absence of any evidence to the contrary, we assume a story is set shortly before it was first published.  Hence our choice of July 15, 1939 (which was a Saturday) as the date on which story begins.  But this is an assumption; Faulkner may have been thinking of a date a year or two earlier.</p>
","The Saturday Evening Post","","4 November 1939","Vintage International","New York","2011","67","86","42.00","1939-11-04","<p>How to cite this resource:Joiner, Jennie, and Mike Wainwright.  ""Faulkner's 'Hand Upon the Waters.'""  Added to the project: 2018.  Additional editing 2021: Stephen Railton; 2022 John Corrigan.  <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","4671"
"MNK","""Monk""","<p>Faulkner's second detective story, ""Monk"" was originally published in <em>Scribner's Magazine</em> in May, 1937.  Faulkner wrote four more detective fictions between 1939 and 1949, and in 1949 collected all six into a volume entitled <em>Knight's Gambit</em>.  Our representation of the story is based on the Vintage International paperback edition of that book (2011).</p>
<p>""Monk"" actually features two different types of mystery, which call for two different types of detectives.  As in most detective fictions, ""Monk"" contains mysterious deaths - two of them; as in all the <em>Knight's Gambit</em> stories, the investigating detective figure is Gavin Stevens - Yoknapatawpha County Attorney and one of Faulkner's favorite characters.  But ""Monk"" is even more interested in the mystery of a life - Monk's.  And it is the story's unnamed narrator who, at the outset, announces his intention to ""tell about Monk"" as a kind of detective quest: by means of the ""nebulous tools"" that ""literature"" provides he undertakes to resolve the ""inconsistencies in [Monk's] brief and sordid and unoriginal history"" (41).  In the end Gavin discovers the persons responsible for the two deaths, and the narrator makes considerable progress toward reconstructing Monk's life.  But neither finds a satisfactory answer to their own questions about why the legal system fails Monk on multiple occasions.  As the narrator notes, Monk ""should never have gone to the penitentiary at all"" (41), nor been executed for a crime that he was coerced into committing there. Faulkner underscores this failure of justice at the story's end, when Stevens simply walks out of the travesty of a Parole Board hearing and effectively turns his back on the legal system, at least for for the time being.</p>
","Scribner's Magazine","","May 1937","Vintage International","New York","2011","41","63","39.00","1937-05","<p>How to cite this resource:<br />Railton, Stephen, and Lorie Watkins.  ""Faulkner's 'Monk.'""  Added to the project: 2016.  Additional editing 2018: Johannes H. Burgers, Theresa M. Towner.   <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","4670"
"LIO","""Lion""","<p>""Lion"" was probably written in early 1935 and was first published in <em>Harper's</em> magazine in December, 1935.  Faulkner later substantially rewrote the story into ""The Bear,"" Chapter 5 in <em>Go Down, Moses</em> (1942).  In that text he reassigned the apprentice hunter's role from Quentin to Isaac McCaslin. Our representation is based on the <em>Harper's</em> version, as reprinted by Joseph Blotner in <em>Uncollected Stories of William Faulkner</em>.</p>
<p>Faulkner wrote and re-wrote ""Lion"" from the point of view of Quentin, then young Bayard Sartoris, and finally young Isaac McCaslin. Each version highlights the ultimate confrontation between the strong, independent, and courageous dog who gives the story its title and the seemingly indestructible bear.  The young narrators are each privileged to be present for this epic chase, but Quentin and Bayard observe from a distance and then report on the significance and results of this hunt.  Only in <em>Go Down, Moses</em> does the young hunter witness the climactic scene directly.  In each version, however, he presents the radical consequences of the event on both Major de Spain and Boon Hogganbeck, and, implicitly, on himself.</p>
<p><strong>Dating the Story</strong>: Faulkner’s hunting stories seem, in some senses, separate in time as well as in place from the usual historical contexts and biographical particulars of the privileged residents of Jefferson who are invited to participate in the annual hunt. We can only speculate about the date of the epic battle between Lion and Old Ben. The narrator recalls being ""sixteen"" at the time. Although the relationship between the story's Quentin and his ""Father"" certainly differs from the father-and-son relationships set forth in both <em>The Sound and the Fury</em> (1929) and <em>Absalom. Absalom!</em> (1936), in the absence of any other evidence in the story itself, we used Quentin's age in those novels to date the hunt in 1906.  We also have to speculate about when Quentin tells the story, but he is surely quite a bit older and more mature when he does so, making a date closer to the story's 1935 publication in <em>Harper's</em> seem plausible.</p>
","Harper's Magazine","","December 1935","Vintage International","New York","1997","185","200","34.00","1935-12","<p>How to cite this resource:<br />Carothers, James B., and Stephen Railton.  ""Faulkner's 'Lion.'""  Added to the project: 2016.  Additional editing 2018: John Padgett, Ben Robbins.    <em>Digital Yoknapatawpha</em>, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","4669"
"TWB","""That Will Be Fine""","<p>This darkly ironic Christmas story was apparently written in March 1935, and <em>The American Mercury</em> published it in July 1935.  It was chosen for inclusion in <em>The Best Short Stories of 1936 and The Yearbook of the American Short Story</em>, yet when Random House editor Robert Haas suggested that Faulkner compile a volume of collected stories, he did not suggest ""That Will Be Fine"" for inclusion.  However, when Faulkner embraced the idea of a collection, he added the story to the list of proposed contents right away.  (There is no record of Hass' response to Faulkner's query, ""Have you a good reason for not including this?"")  <em>Collected Stories</em> (1950) reprinted <em>The American Mercury</em> version without change, and the <em>Collected Stories</em> version is the basis for our edition.</p>
<p><strong>Dating the Story</strong>:  The main events take place over the two days before Christmas: December 23 and 24.  The text does not give any direct indication of the year, but since the travel in this story is all by horse and buggy and not by automobile, we have dated its events as occurring near the turn into the 20th century, not long before cars, according to Faulkner's other fictions, began appearing in Yoknapatawpha.  But 1904 is an editorial interpretation: as he wrote the story Faulkner could have been thinking of any year between 1900 and 1910 - or just ""the old days"" in general.</p>
<p>SOURCE: Joseph Blotner, ed., <em>Selected Letters of William Faulkner</em>.</p>
","American Mercury","","July 1935","Vintage International","New York","1995","265","288","32.00","1935-07","<p>How to cite this resource:<br />
Carothers, James B., and Theresa Towner. ""Faulkner's 'That Will Be Fine.'"" Added to the project: 2018. Additional editing 2021: Theresa M. Towner, Erin Kay Penner.  Digital Yoknapatawpha, University of Virginia, <a href=""http://faulkner.iath.virginia.edu"">http://faulkner.iath.virginia.edu</a></p>","4668"
